title,genre,director,cast
Identity,"Mystery, Thriller",James Mangold,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes"
Godzilla,"Action, Sci-Fi, Thriller",Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria"
Flash Gordon,"Action, Adventure, Sci-Fi",Mike Hodges,"Sam J. Jones, Melody Anderson, Max von Sydow, Topol"
Venom: Let There Be Carnage,"Action, Sci-Fi, Thriller",Andy Serkis,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris"
Amy Winehouse,Drama,Michael Hoffman,"Wolfe John, Jeffrey Scott Basham"
Spider-Man: Far from Home,"Action, Adventure, Comedy",Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei"
Possessions,Horror,Brent Cote,"Clive Standen, Yeardley Smith, Mason Wells, K.C. Clyde"
Untitled Mad Max Project,"Action, Adventure, Sci-Fi",George Miller,Tom Hardy
You've Got Mail,"Comedy, Drama, Romance",Nora Ephron,"Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey"
Pacific Rim,"Action, Adventure, Sci-Fi",Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day"
The Lost World: Jurassic Park,"Action, Adventure, Sci-Fi",Steven Spielberg,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Vince Vaughn"
Groundhog Day,"Comedy, Drama, Fantasy",Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky"
Underwater,"Action, Horror, Sci-Fi",William Eubank,"Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller"
The Incredible Hulk,"Action, Adventure, Sci-Fi",Louis Leterrier,"Edward Norton, Liv Tyler, Tim Roth, William Hurt"
Anchorman: The Legend of Ron Burgundy,Comedy,Adam McKay,"Will Ferrell, Christina Applegate, Steve Carell, Paul Rudd"
What We Do in the Shadows,"Comedy, Horror",Jemaine Clement,"Taika Waititi, Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh"
The Strangers: Prey at Night,Horror,Johannes Roberts,"Christina Hendricks, Martin Henderson, Bailee Madison, Lewis Pullman"
Against All Odds,"Action, Adventure, Crime",Taylor Hackford,"Rachel Ward, Jeff Bridges, James Woods, Alex Karras"
Annie,"Comedy, Drama, Family",John Huston,"Aileen Quinn, Albert Finney, Carol Burnett, Ann Reinking"
Venom,"Action, Adventure, Sci-Fi",Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
Gypsy,"Biography, Comedy, Drama",Mervyn LeRoy,"Rosalind Russell, Natalie Wood, Karl Malden, Paul Wallace"
High Strung,"Drama, Music, Romance",Michael Damian,"Keenan Kampa, Nicholas Galitzine, Sonoya Mizuno, Jane Seymour"
Never Let Me Go,"Drama, Romance, Sci-Fi",Mark Romanek,"Keira Knightley, Carey Mulligan, Andrew Garfield, Izzy Meikle-Small"
Light,Sci-Fi,Matt Woollard,"Christine Roche, Gia Lily, Anna Swan, Tedroy Newell"
Project X,Comedy,Nima Nourizadeh,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame"
The Death of Stalin,"Comedy, Drama, History",Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Andrea Riseborough"
Lone Survivor,"Action, Biography, Drama",Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster"
Jerry Maguire,"Comedy, Drama, Romance",Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston"
Bloodshot,"Action, Adventure, Sci-Fi",Dave Wilson,"Vin Diesel, Eiza González, Sam Heughan, Toby Kebbell"
Lion,"Biography, Drama",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
It's a Wonderful Life,"Drama, Family, Fantasy",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
The Father,"Drama, Mystery",Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams"
Untitled Formula One Racing Movie,Sport,Joseph Kosinski,"Brad Pitt, Kerry Condon, Javier Bardem, Tobias Menzies"
American Assassin,"Action, Thriller",Michael Cuesta,"Dylan O'Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch"
The Power of the Dog,"Drama, Western",Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee"
To Die For,"Comedy, Crime, Drama",Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck"
Metropolis,"Drama, Sci-Fi",Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge"
Moana,"Adventure, Comedy, Family",Thomas Kail,Dwayne Johnson
The Village,"Drama, Mystery, Thriller",M. Night Shyamalan,"Sigourney Weaver, William Hurt, Joaquin Phoenix, Bryce Dallas Howard"
An Officer and a Gentleman,"Drama, Romance",Taylor Hackford,"Richard Gere, Debra Winger, David Keith, Robert Loggia"
Ölümlü Dünya 2,Comedy,Ali Atay,"Ali Seçkiner Alici, Giray Altinok, Sarp Apak, Dogu Demirkol"
American Hustle,"Crime, Drama",David O. Russell,"Christian Bale, Amy Adams, Bradley Cooper, Jennifer Lawrence"
King Arthur: Legend of the Sword,"Action, Adventure, Drama",Guy Ritchie,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou"
8 Mile,"Drama, Music",Curtis Hanson,"Eminem, Brittany Murphy, Kim Basinger, Mekhi Phifer"
Nowhere,"Drama, Thriller",Albert Pintó,"Anna Castillo, Tamar Novas, Tony Corvillo, Mariam Torres"
End of Watch,"Action, Crime, Drama",David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera"
The Conjuring 2,"Horror, Mystery, Thriller",James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor"
Closer,"Drama, Romance",Mike Nichols,"Natalie Portman, Jude Law, Clive Owen, Julia Roberts"
El Camino: A Breaking Bad Movie,"Action, Crime, Drama",Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker"
The Hitman's Bodyguard,"Action, Comedy, Crime",Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung"
Matilda: The Musical,"Comedy, Drama, Family",Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham"
Secondhand Lions,"Comedy, Drama, Family",Tim McCanlies,"Haley Joel Osment, Michael Caine, Robert Duvall, Kyra Sedgwick"
Frankenstein,"Drama, Horror, Sci-Fi",Guillermo del Toro,"Ralph Ineson, Mia Goth, Oscar Isaac, Jacob Elordi"
Remember Me,"Drama, Romance",Allen Coulter,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund, Moisés Acevedo"
Live and Let Die,"Action, Adventure, Thriller",Guy Hamilton,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James"
Polar,"Action, Thriller",Jonas Åkerlund,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren"
Argo,"Biography, Drama, History",Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin"
Fear the Night,"Action, Horror, Thriller",Neil LaBute,"Maggie Q, Ito Aghayere, Philip Burke, James Carpinello"
Crash,"Crime, Drama, Thriller",Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave"
Killing Me Softly,"Drama, Mystery, Romance",Kaige Chen,"Heather Graham, Joseph Fiennes, Natascha McElhone, Ulrich Thomsen"
Triangle,"Fantasy, Mystery, Sci-Fi",Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor, Michael Dorman"
Captain Marvel,"Action, Adventure, Sci-Fi",Anna Boden,"Ryan Fleck, Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law"
The Invisible Man,"Drama, Horror, Mystery",Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge"
Superhero Movie,"Action, Comedy, Sci-Fi",Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton, Christopher McDonald"
Shrek Forever After,"Animation, Adventure, Comedy",Mike Mitchell,"Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas"
Million Dollar Baby,"Drama, Sport",Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel"
Cuckoo,"Horror, Mystery, Thriller",Tilman Singer,"Dan Stevens, Hunter Schafer, Jessica Henwick, Marton Csokas"
The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett"
Citizen Kane,"Drama, Mystery",Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead"
Shattered,"Crime, Drama, Horror",Luis Prieto,"Cameron Monaghan, Sasha Luss, Ridley Asha Bateman, Lilly Krug"
Fried Green Tomatoes,Drama,Jon Avnet,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker"
Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy",Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna"
The Homesman,"Drama, Western",Tommy Lee Jones,"Tommy Lee Jones, Hilary Swank, Grace Gummer, Miranda Otto"
Halloween,"Horror, Thriller",John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes"
One Is a Lonely Number,Drama,Mel Stuart,"Trish Van Devere, Monte Markham, Janet Leigh, Melvyn Douglas"
GoldenEye,"Action, Adventure, Thriller",Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen"
The Fly,"Drama, Horror, Sci-Fi",David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel"
Kung Fu Panda 2,"Animation, Action, Adventure",Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Jackie Chan, Dustin Hoffman"
The Wicker Man,"Horror, Mystery, Thriller",Robin Hardy,"Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland"
Dirty Harry,"Action, Crime, Thriller",Don Siegel,"Clint Eastwood, Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni"
What's Eating Gilbert Grape,Drama,Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen"
The Iceman,"Biography, Crime, Drama",Ariel Vromen,"Michael Shannon, Chris Evans, James Franco, Winona Ryder"
Highlander,"Action, Fantasy, Sci-Fi",Chad Stahelski,Henry Cavill
The Spiderwick Chronicles,"Action, Adventure, Drama",Mark Waters,"Freddie Highmore, Sarah Bolger, David Strathairn, Mary-Louise Parker"
Hannibal,"Crime, Drama, Thriller",Ridley Scott,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta"
The Faculty,"Horror, Mystery, Sci-Fi",Robert Rodriguez,"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett"
Reality,Drama,Tina Satter,"Sydney Sweeney, Josh Hamilton, Marchánt Davis, Benny Elledge"
Triple Frontier,"Action, Thriller",J.C. Chandor,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund"
Renfield,"Action, Comedy, Fantasy",Chris McKay,"Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz"
A Time to Kill,"Crime, Drama, Thriller",Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey"
Deepwater Horizon,"Action, Drama, History",Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont"
Io capitano,Drama,Matteo Garrone,"Seydou Sarr, Moustapha Fall, Issaka Sawadogo, Hichem Yacoubi"
Escape from Germany,"Drama, History, War",T.C. Christensen,"Sebastian Barr, Joseph Batzel, Ischa Bee, Pamela Beheshti"
The New Mutants,"Action, Horror, Mystery",Josh Boone,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga"
This Is Where I Leave You,"Comedy, Drama",Shawn Levy,"Jason Bateman, Tina Fey, Jane Fonda, Adam Driver"
Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
The Conjuring: Last Rites,"Horror, Mystery, Thriller",Michael Chaves,"Vera Farmiga, Patrick Wilson, Taissa Farmiga, Victoria Paige Watkins"
She's All That,"Comedy, Romance",Robert Iscove,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker"
The Evil Dead,Horror,Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker"
Rebel Without a Cause,Drama,Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo, Jim Backus"
The Princess and the Frog,"Animation, Adventure, Comedy",Ron Clements,"John Musker, Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos"
Batman Forever,"Action, Adventure",Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman"
Super 8,"Action, Mystery, Sci-Fi",J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney"
The Hill,"Biography, Drama, Sport",Jeff Celentano,"Dennis Quaid, Colin Ford, Joelle Carter, Scott Glenn"
Escape Room,"Action, Adventure, Horror",Adam Robitel,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine"
Life of Pi,"Adventure, Drama, Fantasy",Ang Lee,"Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu"
Stop Making Sense,"Documentary, Music",Jonathan Demme,"David Byrne, Bernie Worrell, Alex Weir, Steven Scales"
Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi",Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel"
Rio,"Animation, Adventure, Comedy",Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez, Karen Disher"
Ang-ma-reul bo-at-da,"Action, Crime, Thriller",Jee-woon Kim,"Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Chun Ho-jin"
The Outlaw Josey Wales,"Drama, Western",Clint Eastwood,"Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney"
The Girl on the Train,"Crime, Drama, Mystery",Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux"
Fifty Shades Darker,"Drama, Mystery, Romance",James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford"
Q,"Drama, Romance",Laurent Bouhnik,"Déborah Révy, Hélène Zimmer, Gowan Didi, Johnny Amaro"
Megan Leavey,"Action, Biography, Drama",Gabriela Cowperthwaite,"Kate Mara, Ramón Rodríguez, Tom Felton, Bradley Whitford"
Commando,"Action, Adventure, Thriller",Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells"
Das Boot,"Drama, War",Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch"
Jeune et jolie,"Drama, Romance",François Ozon,"Marine Vacth, Géraldine Pailhas, Frédéric Pierrot, Fantin Ravat"
Revenge of the Nerds,Comedy,Jeff Kanew,"Robert Carradine, Anthony Edwards, Timothy Busfield, Andrew Cassese"
Natural Born Killers,"Action, Crime, Romance",Oliver Stone,"Woody Harrelson, Juliette Lewis, Tom Sizemore, Rodney Dangerfield"
Big Fish,"Adventure, Drama, Fantasy",Tim Burton,"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange"
Zombieland,"Action, Comedy, Horror",Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin"
Enchanted,"Animation, Adventure, Comedy",Kevin Lima,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey"
Field of Dreams,"Drama, Family, Fantasy",Phil Alden Robinson,"Kevin Costner, James Earl Jones, Ray Liotta, Amy Madigan"
Die Hard 2,"Action, Thriller",Renny Harlin,"Bruce Willis, William Atherton, Bonnie Bedelia, Reginald VelJohnson"
Game Night,"Action, Adventure, Comedy",John Francis Daley,"Jonathan Goldstein, Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan"
Rolling Thunder,"Crime, Drama, Thriller",John Flynn,"William Devane, Tommy Lee Jones, Linda Haynes, James Best"
Joy Ride,Comedy,Adele Lim,"Ashley Park, Sherry Cola, Stephanie Hsu, Sabrina Wu"
Monster,"Biography, Crime, Drama",Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen"
Melancholia,"Drama, Sci-Fi",Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgård"
Bird Box,"Horror, Mystery, Sci-Fi",Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson"
Air Force One,"Action, Crime, Drama",Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"
Breakfast at Tiffany's,"Comedy, Drama, Romance",Blake Edwards,"Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen"
Men in Black II,"Action, Adventure, Comedy",Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle"
Fantastic Four,"Action, Adventure, Sci-Fi",Josh Trank,"Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell"
Memoirs of a Geisha,"Drama, Romance",Rob Marshall,"Ziyi Zhang, Ken Watanabe, Michelle Yeoh, Suzuka Ohgo"
Sleepers,"Crime, Drama, Thriller",Barry Levinson,"Robert De Niro, Kevin Bacon, Brad Pitt, Jason Patric"
The Patriot,"Action, Drama, History",Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs"
Sideways,"Comedy, Drama, Romance",Alexander Payne,"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh"
Tomorrowland,"Action, Adventure, Family",Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy"
Toy Story 3,"Animation, Adventure, Comedy",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty"
Persuasion,"Drama, Romance",Carrie Cracknell,"Richard E. Grant, Henry Golding, Ben Bailey Smith, Yolanda Kettle"
San Andreas,"Action, Adventure, Thriller",Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario, Colton Haynes"
Con Air,"Action, Crime, Thriller",Simon West,"Nicolas Cage, John Cusack, John Malkovich, Colm Meaney"
Fast & Furious,"Action, Crime, Thriller",Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster"
Click,"Comedy, Drama, Fantasy",Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff"
The Blair Witch Project,"Horror, Mystery",Daniel Myrick,"Eduardo Sánchez, Heather Donahue, Michael C. Williams, Joshua Leonard, Bob Griffin"
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",Alejandro G. Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough"
Aranmanai 4,Horror,Sundar C.,"Sundar C., Tamannaah Bhatia, Raashi Khanna, Yogi Babu"
Música,"Comedy, Music, Romance",Rudy Mancuso,"Rudy Mancuso, Camila Mendes, Francesca Reale, Maria Mancuso"
The Birds,"Drama, Horror, Mystery",Alfred Hitchcock,"Rod Taylor, Tippi Hedren, Jessica Tandy, Suzanne Pleshette"
RoboCop,"Action, Crime, Sci-Fi",José Padilha,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish"
Species,"Action, Horror, Sci-Fi",Roger Donaldson,"Natasha Henstridge, Michael Madsen, Ben Kingsley, Alfred Molina"
You Were Never Really Here,"Crime, Drama, Thriller",Lynne Ramsay,"Joaquin Phoenix, Judith Roberts, Ekaterina Samsonov, John Doman"
When Harry Met Sally...,"Comedy, Drama, Romance",Rob Reiner,"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby"
Battleship,"Action, Adventure, Sci-Fi",Peter Berg,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson, Rihanna"
10 Cloverfield Lane,"Drama, Horror, Mystery",Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin"
The Life and Times of Judge Roy Bean,"Comedy, Drama, Romance",John Huston,"Paul Newman, Ava Gardner, Roy Jenson, Gary Combs"
Ambulance,"Action, Crime, Drama",Michael Bay,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt"
Das Lehrerzimmer,Drama,Ilker Çatak,"Leonie Benesch, Anne-Kathrin Gummich, Rafael Stachowiak, Michael Klammer"
Turning Red,"Animation, Adventure, Comedy",Domee Shi,"Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park"
Plane,"Action, Adventure, Thriller",Jean-François Richet,"Gerard Butler, Mike Colter, Tony Goldwyn, Yoson An"
Upgrade,"Action, Sci-Fi, Thriller",Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden"
O Lado Bom de ser Traída,"Drama, Mystery, Romance",Diego Freitas,"Giovanna Lancellotti, Leandro Lima, Camilla de Lucas, Bruno Montaleone"
The Bride,"Drama, Horror, Romance",Maggie Gyllenhaal,"Christian Bale, Jessie Buckley, Penélope Cruz, Annette Bening"
Così fan tutte,"Comedy, Drama",Tinto Brass,"Claudia Koll, Paolo Lanza, Franco Branciaroli, Isabella Deiana"
Kaam Chalu Hai,Drama,Palaash Muchhal,"Karan Ashok Awale, Swapnil Kamble, Namdev Kamlakar, Akshay Kamle"
Hummingbird,"Action, Crime, Drama",Steven Knight,"Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong"
Operation Mincemeat,"Drama, War",John Madden,"Colin Firth, Matthew Macfadyen, Kelly Macdonald, Rufus Wright"
Bad Times at the El Royale,"Crime, Drama, Mystery",Drew Goddard,"Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm"
The Twilight Saga: Eclipse,"Action, Adventure, Drama",David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Xavier Samuel"
Raya and the Last Dragon,"Animation, Action, Adventure",Don Hall,"Carlos López Estrada, Paul Briggs, John Ripa, Kelly Marie Tran, Awkwafina, Gemma Chan, Izaac Wang"
Escape from New York,"Action, Adventure, Sci-Fi",John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence"
Ghost Rider,"Action, Fantasy, Thriller",Mark Steven Johnson,"Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long"
Nineteen Eighty-Four,"Drama, Sci-Fi",Michael Radford,"John Hurt, Richard Burton, Suzanna Hamilton, Cyril Cusack"
Lolita,"Crime, Drama, Romance",Stanley Kubrick,"James Mason, Shelley Winters, Sue Lyon, Gary Cockrell"
Toy Story 2,"Animation, Adventure, Comedy",John Lasseter,"Ash Brannon, Lee Unkrich, Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer"
Queenpins,"Comedy, Crime",Aron Gaudet,"Gita Pullapilly, Kristen Bell, Kirby, Paul Walter Hauser, Bebe Rexha"
Players,"Comedy, Romance",Trish Sie,"Gina Rodriguez, Damon Wayans Jr., Tom Ellis, Augustus Prew"
We Were Soldiers,"Action, Drama, History",Randall Wallace,"Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott"
The Gambler,"Crime, Drama, Thriller",Rupert Wyatt,"Mark Wahlberg, Jessica Lange, John Goodman, Brie Larson"
Hulk,"Action, Sci-Fi",Ang Lee,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas"
The Void,"Horror, Mystery, Sci-Fi",Jeremy Gillespie,"Steven Kostanski, Aaron Poole, Kenneth Welsh, Ellen Wong, Kathleen Munroe"
An American Werewolf in London,"Comedy, Horror",John Landis,"David Naughton, Jenny Agutter, Joe Belcher, Griffin Dunne"
